d_equivalent,dx_i,poro_eff,Re,k_in_micron2
13.1336748008463,1e-06,0.882875,0.0031856826356211,20.8517082673027
14.0455052836443,1e-06,0.9005,0.00687105111126131,35.026777298759
12.6359108209085,1e-06,0.897825,0.00423361954604649,24.7077519972423
12.7925316682566,1e-06,0.908825,0.00539905586246497,27.4366973713798
13.3669661564715,1e-06,0.9035,0.00911200447340088,47.1797068550965
12.5307765200299,1e-06,0.88995,0.00229021057940535,14.645252953959
12.7035180507527,1e-06,0.90255,0.00696172217909334,38.3423085455462
12.9849774517382,1e-06,0.8886,0.0019712008535718,12.3322853913124
13.7435719353329,1e-06,0.909325,0.00209903131483642,9.86876339128201
13.2720479424053,1e-06,0.8922,0.00462199229951276,27.2660874692062
13.1200883390329,1e-06,0.893775,0.00544009779875869,31.9332771999298
12.7504541652329,1e-06,0.896925,0.00521622566246283,30.4651230833173
13.5928295897539,1e-06,0.89175,0.004427281538901,25.6204681448293
13.4642899034315,1e-06,0.8828,0.00283414727971281,18.1083656024224
12.9875758144175,1e-06,0.893,0.00409980649343606,24.5099591754835
13.0070245736215,1e-06,0.892525,0.00265262924883484,15.9133151313554
12.7284462562299,1e-06,0.88415,0.00233585468746682,15.5817245085861
12.8564491503276,1e-06,0.88765,0.00414257165835411,26.4274535624204
13.0254087236554,1e-06,0.883175,0.00338565199002835,22.2799895992854
13.8725087901689,1e-06,0.895525,0.00719252382385415,39.1954785922681
13.1420216162228,1e-06,0.888275,0.00183850192402431,11.4019686195833
13.0892239645409,1e-06,0.895275,0.00485035770161153,28.0885154826844
13.7706040138434,1e-06,0.898025,0.00339708046565052,18.1523617081805
13.1052463366802,1e-06,0.894225,0.00253853543101141,14.8473611721716
12.3423766468296,1e-06,0.8885,0.00238281802241081,15.699453032045
13.2085408074177,1e-06,0.879575,0.00233750926843717,15.7006373749131
13.3814406384656,1e-06,0.913625,0.0119544715818104,54.7296415128595
13.2300957931481,1e-06,0.898975,0.00225385669236904,12.4056510365529
13.5227220094923,1e-06,0.88445,0.004994650073951,31.2689009001296
14.3685624442343,1e-06,0.89305,0.00797308865182363,43.0619104270866
14.1335203739655,1e-06,0.88885,0.0043822374013965,25.1247383678292
