d_equivalent,dx_i,poro_eff,Re,k_in_micron2
12.9543204434797,2e-06,0.8996,0.00515898152437893,28.8010690733635
12.6748997142144,2e-06,0.9074,0.00735346657521701,38.3649651920413
12.8900016229269,2e-06,0.8908,0.00341368559219608,21.0372022870447
13.768558355535,2e-06,0.8978,0.00454619499292424,24.3559957903521
13.795753502214,2e-06,0.9024,0.00653205946341922,33.1841303427326
13.0601685003795,2e-06,0.8948,0.00471920018793345,27.5286168072528
13.4761898956434,2e-06,0.8907,0.0031298056539027,18.4677490369371
13.0368667905245,2e-06,0.8891,0.00553110534113568,34.2921443817956
12.5320453993369,2e-06,0.9077,0.00277617473191325,14.5968521456956
13.1535862487859,2e-06,0.8972,0.00442418795955051,24.9728580326737
13.3629049677115,2e-06,0.9092,0.00310943730706064,15.058522160165
12.7613278775634,2e-06,0.89,0.00402422941430708,25.2559988054147
13.3968710166702,2e-06,0.902,0.00282787443813192,14.8611114167824
13.9421539515994,2e-06,0.8891,0.00565016861938677,32.7557446264786
14.1096031790718,2e-06,0.8914,0.00769329192603325,43.0456840709363
12.7092514178495,2e-06,0.8863,0.00247032998254638,16.1580787192229
12.7548555910856,2e-06,0.879,0.00298045525437171,20.8438798598911
13.0049801352825,2e-06,0.8988,0.00663076037306724,37.2002702419629
12.5759205023516,2e-06,0.888,0.00329583032906961,21.4192926855364
13.5510864114095,2e-06,0.9083,0.00833476022014049,40.2377810343902
13.0138608750629,2e-06,0.8897,0.00460377235184554,28.4193806208749
13.9514231445602,2e-06,0.8918,0.00459508055163293,25.8946125109863
12.8127481550073,2e-06,0.8873,0.00438388623701971,28.1608283972758
12.9949848362793,2e-06,0.8923,0.00418302465409709,25.1764483121291
11.9726451199299,2e-06,0.8894,0.0032998223058226,22.2092274495496
12.6456224818213,2e-06,0.9009,0.00757541303753316,42.7010130138038
13.6092909701396,2e-06,0.9084,0.00353794555005324,16.9866993103945
12.4323300747068,2e-06,0.8954,0.00486275785469801,29.6087254105454
13.5745181410068,2e-06,0.8935,0.00418930281120669,23.8367689967634
13.1328554180993,2e-06,0.9039,0.00552898697529195,29.0044350682302
13.1768843476176,2e-06,0.8977,0.00667108215937927,37.385480735345
13.6929345086033,2e-06,0.8844,0.00329792216411591,20.3998970859296
12.8421234352755,2e-06,0.8944,0.00297434316150584,17.719904089896
12.8541128869329,2e-06,0.8972,0.00366257735579592,21.1555125613907
13.1244084588387,2e-06,0.8857,0.00338139148813102,21.5451890208501
13.7866977009209,2e-06,0.8943,0.00365814098271955,20.3220234598225
13.1906352217535,2e-06,0.8874,0.00203178408286736,12.6650181158306
13.218684062221,2e-06,0.8946,0.00666364056819253,38.4866458656698
14.0533504927508,2e-06,0.9105,0.00531349441612857,24.0834356516348
12.6993795753497,2e-06,0.8881,0.00347531748413766,22.3437057540585
12.7278835622762,2e-06,0.8944,0.00305767707368692,18.3798751431343
13.0338326312382,2e-06,0.8832,0.00312448823255282,20.5430792594805
13.2668212189563,2e-06,0.8827,0.00500170196091637,32.4646574148193
12.8124214414646,2e-06,0.8932,0.00594232936054045,35.9354467198774
12.7810402146832,2e-06,0.8949,0.00657545672661153,39.1528099666909
12.7375690415097,2e-06,0.8926,0.0048588278964959,29.7418082944426
12.9614601925526,2e-06,0.8884,0.00341581836584975,21.4521828217093
13.9114923639041,2e-06,0.8858,0.00268968406242544,16.1522482835552
